Country Code,variable,value
WLD,1962,495.7868539
WSM,1962,
XKX,1962,
YEM,1962,
ZAF,1962,563.4230088
ZMB,1962,202.2810312
ZWE,1962,275.5456083
ABW,1963,
AFE,1963,225.4404936
AFG,1963,
AFW,1963,139.0082913
AGO,1963,
ALB,1963,
AND,1963,
ARB,1963,225.8006302
ARE,1963,
ARG,1963,852.9724251
ARM,1963,
ASM,1963,
ATG,1963,
AUS,1963,1967.211274
AUT,1963,1172.557446
AZE,1963,
BDI,1963,78.37119832
BEL,1963,1555.022932
BEN,1963,95.71673698
BFA,1963,78.90877367
BGD,1963,94.1423743
BGR,1963,
BHR,1963,
BHS,1963,1759.236922
BIH,1963,
BLR,1963,
BLZ,1963,341.9325838
BMU,1963,1821.790913
BOL,1963,121.3532769
BRA,1963,294.1696194
BRB,1963,420.5043895
BRN,1963,
BTN,1963,
BWA,1963,68.88641047
CAF,1963,71.75518757
CAN,1963,2380.317329
CEB,1963,
CHE,1963,2508.474307
CHI,1963,
CHL,1963,657.7191966
CHN,1963,74.46815409
CIV,1963,185.076826
CMR,1963,131.6420147
COD,1963,376.38337
COG,1963,150.650752
COL,1963,282.5883303
COM,1963,
CPV,1963,
CRI,1963,345.5053691
CSS,1963,530.7335807
CUB,1963,
CUW,1963,
CYM,1963,
CYP,1963,
CZE,1963,
DEU,1963,1502.154529
DJI,1963,
DMA,1963,
DNK,1963,1807.252792
DOM,1963,262.186358
DZA,1963,225.5846602
EAP,1963,75.51312196
EAR,1963,167.9940959
EAS,1963,166.8608575
ECA,1963,
ECS,1963,811.7322501
ECU,1963,364.7435941
EGY,1963,143.9284025
EMU,1963,1228.376782
ERI,1963,
ESP,1963,627.278451
EST,1963,
ETH,1963,79.17263437
EUU,1963,1048.040489
FCS,1963,172.0607197
FIN,1963,1538.457034
FJI,1963,291.3835738
FRA,1963,1717.703791
FRO,1963,
FSM,1963,
GAB,1963,290.6758165
GBR,1963,1613.456884
GEO,1963,
GHA,1963,205.0374224
GIB,1963,
GIN,1963,
GMB,1963,
GNB,1963,
GNQ,1963,154.7974985
GRC,1963,685.559282
GRD,1963,
GRL,1963,
GTM,1963,284.3975043
GUM,1963,
GUY,1963,288.8203904
HIC,1963,1440.911515
HKG,1963,565.7278104
HND,1963,182.7270792
HPC,1963,163.1854155
HRV,1963,
HTI,1963,72.39834935
HUN,1963,
IBD,1963,173.4828417
IBT,1963,166.6770793
IDA,1963,127.4642863
IDB,1963,112.5460849
IDN,1963,
IDX,1963,139.7823521
IMN,1963,
IND,1963,103.4350213
INX,1963,
IRL,1963,878.1565765
IRN,1963,209.5593763
IRQ,1963,235.5136238
ISL,1963,1859.248362
ISR,1963,1486.317398
ITA,1963,1171.386963
JAM,1963,480.3364997
JOR,1963,
JPN,1963,775.5921231
KAZ,1963,
KEN,1963,107.393656
KGZ,1963,
KHM,1963,
KIR,1963,
KNA,1963,240.1396166
KOR,1963,146.3024926
KWT,1963,4444.523086
LAC,1963,370.5822782
LAO,1963,
LBN,1963,
LBR,1963,163.1312662
LBY,1963,527.8619395
LCA,1963,
LCN,1963,421.0829146
LDC,1963,138.7285052
LIC,1963,
LIE,1963,
LKA,1963,119.3523324
LMC,1963,116.0995783
LMY,1963,137.3011035
LSO,1963,58.40769579
LTE,1963,167.0689224
LTU,1963,
LUX,1963,2461.901124
LVA,1963,
MAC,1963,
MAF,1963,
MAR,1963,210.6356506
MCO,1963,
MDA,1963,
MDG,1963,137.4335635
MDV,1963,
MEA,1963,198.8575171
MEX,1963,419.5520663
MHL,1963,
MIC,1963,137.527629
MKD,1963,
MLI,1963,
MLT,1963,
MMR,1963,25.80398444
MNA,1963,156.5106358
MNE,1963,
MNG,1963,
MNP,1963,
MOZ,1963,
MRT,1963,188.249348
MUS,1963,353.1135476
MWI,1963,
MYS,1963,291.800007
NAC,1963,3282.590263
NAM,1963,
NCL,1963,
NER,1963,153.3248826
NGA,1963,107.6757414
NIC,1963,152.4614983
NLD,1963,1436.887261
NOR,1963,1787.318534
NPL,1963,46.31466297
NRU,1963,
NZL,1963,2646.236529
OED,1963,1562.980986
OMN,1963,106.829312
OSS,1963,
PAK,1963,93.65087286
PAN,1963,586.6166879
PER,1963,324.1074047
PHL,1963,179.464434
PLW,1963,
PNG,1963,128.8741651
POL,1963,
PRE,1963,157.6964653
PRI,1963,931.751666
PRK,1963,
PRT,1963,452.2802916
PRY,1963,189.8724235
PSE,1963,
PSS,1963,
PST,1963,1641.658029
PYF,1963,
QAT,1963,
ROU,1963,
RUS,1963,
RWA,1963,39.2771772
SAS,1963,101.6997303
SAU,1963,811.7382747
SDN,1963,109.939209
SEN,1963,308.6298492
SGP,1963,511.2022354
SLB,1963,
SLE,1963,146.374146
SLV,1963,
SMR,1963,
SOM,1963,69.49223448
SRB,1963,
SSA,1963,199.4217254
SSD,1963,
SSF,1963,188.273584
SST,1963,
STP,1963,
SUR,1963,424.0255324
SVK,1963,
SVN,1963,
SWE,1963,2675.103624
SWZ,1963,146.3911314
SXM,1963,
SYC,1963,308.1952484
SYR,1963,234.8997476
TCA,1963,
TCD,1963,114.7108608
TEA,1963,76.466923
TEC,1963,
TGO,1963,114.6162113
THA,1963,120.6585987
TJK,1963,
TKM,1963,
TLA,1963,412.9418675
TLS,1963,
TMN,1963,155.2807368
TON,1963,
TSA,1963,101.6997303
TSS,1963,188.273584
TTO,1963,756.2849066
TUN,1963,231.9194079
TUR,1963,337.0198569
TUV,1963,
TZA,1963,329.0105896
UGA,1963,61.95537682
UKR,1963,
UMC,1963,152.8311363
URY,1963,586.8211917
USA,1963,3373.357305
UZB,1963,
VCT,1963,154.8557896
VEN,1963,1060.094332
VGB,1963,
VIR,1963,
VNM,1963,
VUT,1963,
WLD,1963,524.8901408
WSM,1963,
XKX,1963,
YEM,1963,
ZAF,1963,604.5368553
ZMB,1963,203.2194512
ZWE,1963,277.0057012
ABW,1964,
AFE,1964,208.9997481
AFG,1964,
AFW,1964,148.5493788
AGO,1964,
ALB,1964,
AND,1964,
ARB,1964,243.897432
ARE,1964,
ARG,1964,1176.200862
ARM,1964,
ASM,1964,
ATG,1964,
AUS,1964,2131.3803
AUT,1964,1275.457153
AZE,1964,
BDI,1964,85.33372867
BEL,1964,1724.018942
BEN,1964,99.7850246
BFA,1964,80.91478877
BGD,1964,92.57829779
BGR,1964,
BHR,1964,
BHS,1964,1883.44386
BIH,1964,
BLR,1964,
BLZ,1964,356.2354084
BMU,1964,1986.64081
BOL,1964,133.8761792
BRA,1964,257.2597269
BRB,1964,413.6254322
BRN,1964,
BTN,1964,
BWA,1964,73.49257732
CAF,1964,77.2050398
CAN,1964,2561.638491
CEB,1964,
CHE,1964,2734.93009
CHI,1964,
CHL,1964,685.9702029
CHN,1964,85.66110746
CIV,1964,215.5062403
CMR,1964,139.2281096
COD,1964,169.9492598
COG,1964,158.0619645
COL,1964,338.6759353
COM,1964,
CPV,1964,
CRI,1964,353.7108968
CSS,1964,555.2359367
CUB,1964,
CUW,1964,
CYM,1964,
CYP,1964,
CZE,1964,
DEU,1964,1637.455228
DJI,1964,
DMA,1964,
DNK,1964,2049.397243
DOM,1964,277.2971582
DZA,1964,238.8638015
EAP,1964,85.11818463
EAR,1964,187.777251
EAS,1964,187.1673925
ECA,1964,
ECS,1964,886.9764919
ECU,1964,435.7634632
EGY,1964,157.7165365
EMU,1964,1349.145918
ERI,1964,
ESP,1964,694.9520868
EST,1964,
ETH,1964,83.83686483
EUU,1964,1152.297359
FCS,1964,152.3056266
FIN,1964,1725.604835
FJI,1964,305.5322031
FRA,1964,1884.137914
FRO,1964,
FSM,1964,
GAB,1964,400.4029565
GBR,1964,1748.288118
GEO,1964,
GHA,1964,224.9681544
GIB,1964,
GIN,1964,
GMB,1964,
GNB,1964,
GNQ,1964,177.8264176
GRC,1964,772.8055008
GRD,1964,
GRL,1964,
GTM,1964,284.1979703
GUM,1964,
GUY,1964,313.2611619
HIC,1964,1556.149596
HKG,1964,629.5915258
HND,1964,197.8479169
HPC,1964,148.0315312
HRV,1964,
HTI,1964,78.45201585
HUN,1964,
IBD,1964,192.1419873
IBT,1964,180.8346478
IDA,1964,122.8526497
IDB,1964,120.2965656
IDN,1964,
IDX,1964,127.9629164
IMN,1964,
IND,1964,117.8564308
INX,1964,
IRL,1964,994.6073316
IRN,1964,221.7317278
IRQ,1964,269.423093
ISL,1964,2332.473658
ISR,1964,1625.99792
ITA,1964,1271.801193
JAM,1964,514.4165113
JOR,1964,
JPN,1964,902.8677215
KAZ,1964,
KEN,1964,111.3005448
KGZ,1964,
KHM,1964,
KIR,1964,
KNA,1964,256.4047152
KOR,1964,123.6063745
KWT,1964,4378.784298
LAC,1964,413.4690846
LAO,1964,
LBN,1964,
LBR,1964,173.9264903
LBY,1964,764.8983894
LCA,1964,
LCN,1964,455.4072026
LDC,1964,122.8368195
LIC,1964,
LIE,1964,
LKA,1964,122.941809
LMC,1964,127.291256
LMY,1964,150.1378119
LSO,1964,62.62076472
LTE,1964,179.2242811
LTU,1964,
LUX,1964,2779.184397
LVA,1964,
MAC,1964,
MAF,1964,
MAR,1964,216.2630463
MCO,1964,
MDA,1964,
MDG,1964,141.5346691
MDV,1964,
MEA,1964,215.7607272
MEX,1964,480.7042144
MHL,1964,
MIC,1964,152.7281126
MKD,1964,
MLI,1964,
MLT,1964,
MMR,1964,17.33220062
MNA,1964,170.2706771
MNE,1964,
MNG,1964,
MNP,1964,
MOZ,1964,
MRT,1964,244.2945997
MUS,1964,297.2843802
MWI,1964,
MYS,1964,302.9339523
NAC,1964,3480.195151
NAM,1964,
NCL,1964,
NER,1964,148.0802691
NGA,1964,113.2973457
NIC,1964,172.6813563
NLD,1964,1668.330861
NOR,1964,1950.693242
NPL,1964,45.32075732
NRU,1964,
NZL,1964,2839.315547
OED,1964,1687.383687
OMN,1964,108.0597471
OSS,1964,
PAK,1964,102.4597638
PAN,1964,611.100613
PER,1964,380.9654575
PHL,1964,188.1537836
PLW,1964,
PNG,1964,139.5186039
POL,1964,
PRE,1964,145.5970397
PRI,1964,1006.434446
PRK,1964,
PRT,1964,490.2073859
PRY,1964,196.9733558
PSE,1964,
PSS,1964,
PST,1964,1773.209919
PYF,1964,
QAT,1964,
ROU,1964,
RUS,1964,
RWA,1964,38.9824483
SAS,1964,113.9539936
SAU,1964,840.4803715
SDN,1964,109.6500778
SEN,1964,317.8504266
SGP,1964,485.530686
SLB,1964,
SLE,1964,153.4453771
SLV,1964,
SMR,1964,
SOM,1964,71.88993994
SRB,1964,
SSA,1964,192.6398065
SSD,1964,
SSF,1964,182.6449075
SST,1964,
STP,1964,
SUR,1964,434.893752
SVK,1964,
SVN,1964,
SWE,1964,2961.062832
